top - 21:48:07 up 12:58,  1 user,  load average: 0.01, 0.02, 0.15
Tasks: 225 total,   1 running, 224 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.0 us,  5.6 sy,  0.0 ni, 57.1 id,  0.3 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3746488 total,  1450996 free,   870204 used,  1425288 buff/cache
KiB Swap:  4000764 total,  4000764 free,        0 used.  2355608 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  998 root      20   0  336256  66876  42460 S   6.2  1.8  14:44.00 Xorg
 9322 arpher    20   0   43540   3960   3360 R   6.2  0.1   0:00.01 top
    1 root      20   0  119884   5996   3936 S   0.0  0.2   0:02.41 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.07 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
    7 root      20   0       0      0      0 S   0.0  0.0   0:10.58 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 migration/0
   10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-dr+
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 watchdog/0
   12 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 watchdog/1
   15 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 migration/1
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.04 ksoftirqd/1
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 watchdog/2
   21 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 migration/2
   22 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirqd/2
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:+
   25 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0.0  0.0   0:00.06 watchdog/3
   27 root      rt   0       0      0      0 S   0.0  0.0   0:00.05 migration/3
   28 root      20   0       0      0      0 S   0.0  0.0   0:00.03 ksoftirqd/3
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:+
   31 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   32 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.02 khungtaskd
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   35 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   37 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   38 root      39  19       0      0      0 S   0.0  0.0   0:00.99 khugepaged
   39 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   40 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   41 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   43 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   44 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   51 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   53 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
   92 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   93 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_therm+
   94 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   95 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   96 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   97 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   98 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   99 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  100 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  101 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  106 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrc+
  127 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
  128 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_ma+
  169 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  170 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  171 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  172 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  173 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  174 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  175 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  183 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  184 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  185 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  186 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  187 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  188 root      -2   0       0      0      0 S   0.0  0.0   0:00.00 i915/signa+
  191 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  213 root       0 -20       0      0      0 S   0.0  0.0   0:00.10 kworker/1:+
  215 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/sdb3-8
  216 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  232 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/sda1-8
  233 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  265 root      20   0   31892   5120   4668 S   0.0  0.1   0:00.49 systemd-jo+
  268 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
  283 root      20   0   45576   4564   3008 S   0.0  0.1   0:00.31 systemd-ud+
  294 root       0 -20       0      0      0 S   0.0  0.0   0:00.04 kworker/0:+
  345 root       0 -20       0      0      0 S   0.0  0.0   0:00.11 kworker/3:+
  347 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmemstick
  358 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
  359 root       0 -20       0      0      0 S   0.0  0.0   0:02.96 kworker/u1+
  365 root       0 -20       0      0      0 S   0.0  0.0   0:00.14 kworker/u1+
  366 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ktpacpid
  372 root     -51   0       0      0      0 S   0.0  0.0   1:03.22 irq/49-iwl+
  389 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd-+
  548 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/sdb1-8
  549 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  564 root       0 -20       0      0      0 S   0.0  0.0   0:00.09 kworker/2:+
  572 root      20   0       0      0      0 S   0.0  0.0   0:00.12 jbd2/sda2-8
  573 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  586 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/sda3-8
  587 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  605 root      20   0       0      0      0 S   0.0  0.0   0:01.45 jbd2/sda5-8
  606 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  697 systemd+  20   0  102384   2600   2376 S   0.0  0.1   0:00.04 systemd-ti+
  769 message+  20   0   44296   5080   3428 S   0.0  0.1   0:05.35 dbus-daemon
  795 root      20   0   31956   4216   3868 S   0.0  0.1   0:00.00 bluetoothd
  796 root      20   0  337380  10712   6908 S   0.0  0.3   0:00.02 ModemManag+
  802 root      20   0   30748   2968   2688 S   0.0  0.1   0:00.02 cron
  803 avahi     20   0   44904   3524   3136 S   0.0  0.1   0:00.10 avahi-daem+
  805 syslog    20   0  256396   3464   2660 S   0.0  0.1   0:00.11 rsyslogd
  814 whoopsie  20   0  452148  12676  10956 S   0.0  0.3   0:00.06 whoopsie
  817 root      20   0  540072  18272  15024 S   0.0  0.5   0:05.06 NetworkMan+
  818 root      20   0  293276   8628   7664 S   0.0  0.2   0:00.38 accounts-d+
  819 root      20   0   28652   3184   2772 S   0.0  0.1   0:00.39 systemd-lo+
  825 root      20   0  168176   8600   7880 S   0.0  0.2   0:01.59 thermald
  826 root      20   0    4400   1316   1228 S   0.0  0.0   0:00.06 acpid
  827 daemon    20   0   26044   2220   2024 S   0.0  0.1   0:00.00 atd
  831 root      20   0  281264  20928  12008 S   0.0  0.6   0:00.04 snapd
  902 root      20   0   19500   2364   2112 S   0.0  0.1   0:01.14 irqbalance
  905 avahi     20   0   44788    344     12 S   0.0  0.0   0:00.00 avahi-daem+
  930 root      20   0  274820   9504   8288 S   0.0  0.3   0:00.03 cups-brows+
  942 root      20   0  299260  12764   8016 S   0.0  0.3   0:00.16 polkitd
  951 root      20   0  292164   8092   7172 S   0.0  0.2   0:00.01 lightdm
  993 root      20   0   44120   7504   6716 S   0.0  0.2   0:00.82 wpa_suppli+
 1004 root      20   0  316340  30608  24660 S   0.0  0.8   0:00.95 php-fpm7.0
 1006 www-data  20   0  316340   7496   1548 S   0.0  0.2   0:00.00 php-fpm7.0
 1007 www-data  20   0  316340   7496   1548 S   0.0  0.2   0:00.00 php-fpm7.0
 1021 root      20   0  228240   6172   5448 S   0.0  0.2   0:00.00 lightdm
 1026 arpher    20   0   45248   4680   3980 S   0.0  0.1   0:00.01 systemd
 1027 arpher    20   0   63500   2148      4 S   0.0  0.1   0:00.00 (sd-pam)
 1030 arpher    20   0   48224   4980   3792 S   0.0  0.1   0:00.18 upstart
 1102 root      20   0   17680   1768   1632 S   0.0  0.0   0:00.00 agetty
 1126 arpher    20   0   34600    284     12 S   0.0  0.0   0:00.03 upstart-ud+
 1133 arpher    20   0   43996   4404   2784 S   0.0  0.1   0:01.93 dbus-daemon
 1145 arpher    20   0   88092   9028   8432 S   0.0  0.2   0:00.03 window-sta+
